Distance_(pixels),Gray_Value
0,27831.148
1,27825.645
2,27606.422
3,27581.020
4,27780.184
5,27658.420
6,27652.395
7,27783.871
8,27965.268
9,27890.670
10,27948.664
11,27716.174
12,27646.500
13,27645.832
14,27644.625
15,27685.188
16,27760.457
17,28075.535
18,28347.953
19,28328.605
20,28212.711
21,28122.836
22,28099.000
23,28082.209
24,27768.840
25,27882.371
26,28209.264
27,28568.451
28,29276.213
29,29375.750
30,29336.834
31,29206.191
32,29317.621
33,29633.410
34,29585.605
35,29389.713
36,29616.516
37,29510.025
38,29478.043
39,29241.965
40,29115.064
41,29260.787
42,29381.039
43,29189.465
44,28805.654
45,28979.535
46,28965.812
47,28728.379
48,28435.152
49,28224.984
50,28038.920
51,27760.734
52,28114.469
53,28138.252
54,28190.520
55,28309.602
56,28385.039
57,28483.164
58,28329.379
59,28194.920
60,28148.938
61,28023.545
62,27931.168
63,27798.545
64,27627.566
65,27590.625
66,27741.727
67,27924.746
68,28011.812
69,28077.291
70,28002.711
71,28189.266
72,28431.871
73,28252.568
74,28107.168
75,27800.945
