Distance_(pixels),Gray_Value
0,28275.652
1,28244.832
2,28481.570
3,28600.902
4,28538.023
5,28414.109
6,28512.488
7,28543.445
8,28537.098
9,28596.879
10,28589.197
11,28650.787
12,28942.539
13,28771.516
14,29575.643
15,30113.945
16,30584.934
17,31098.383
18,31378.324
19,31699.033
20,31562.693
21,31666.250
22,31555.109
23,31337.406
24,31844.082
25,31752.598
26,31490.641
27,31539.732
28,31848.816
29,32037.645
30,31920.695
31,31643.062
32,31568.652
33,31529.443
34,31663.057
35,31432.236
36,31402.225
37,31140.803
38,31233.283
39,30720.230
40,29802.781
41,29034.508
42,29088.846
43,29392.770
44,29376.543
45,29236.656
46,29157.770
47,28872.838
48,28942.156
49,28795.785
50,28854.111
51,28969.926
52,28866.141
53,28740.584
54,28859.795
